,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,7HU5GXHg0lM5QBaeT4b3tQ,1418-coffee-house-plano,1418 Coffee House,https://s3-media2.fl.yelpcdn.com/bphoto/yCGP2DaD169PviAhLIOuIQ/o.jpg,False,https://www.yelp.com/biz/1418-coffee-house-plano?adjust_creative=aefy5ZBpOJ4G3GWKcNB2Sg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aefy5ZBpOJ4G3GWKcNB2Sg,509,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.5,"{'latitude': 33.01929, 'longitude': -96.698839}",[],$$,"{'address1': '1418 K Ave', 'address2': '', 'address3': '', 'city': 'Plano', 'zip_code': '75074', 'country': 'US', 'state': 'TX', 'display_address': ['1418 K Ave', 'Plano, TX 75074']}",+12147385664,(214) 738-5664,7176.834867856356
1,h7pf4HDYW0LLJuSWdUzpQw,mudleaf-coffee-plano,Mudleaf Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/_NC5-daRwbmahEJUUdT4CA/o.jpg,False,https://www.yelp.com/biz/mudleaf-coffee-plano?adjust_creative=aefy5ZBpOJ4G3GWKcNB2Sg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aefy5ZBpOJ4G3GWKcNB2Sg,163,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.0,"{'latitude': 33.0407204392869, 'longitude': -96.750848386714}",['delivery'],,"{'address1': '3100 Independence Pkwy', 'address2': 'Ste 300', 'address3': None, 'city': 'Plano', 'zip_code': '75075', 'country': 'US', 'state': 'TX', 'display_address': ['3100 Independence Pkwy', 'Ste 300', 'Plano, TX 75075']}",+14699312233,(469) 931-2233,2711.9647740772416
2,T1XPiYTdd-sa9g5bIhgJJw,151-coffee-plano-2,151 Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/FYoiZbBKRrMTXkwLNe5S1w/o.jpg,False,https://www.yelp.com/biz/151-coffee-plano-2?adjust_creative=aefy5ZBpOJ4G3GWKcNB2Sg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aefy5ZBpOJ4G3GWKcNB2Sg,29,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",4.5,"{'latitude': 33.015717, 'longitude': -96.795976}",[],$,"{'address1': '1151 Preston Rd', 'address2': '', 'address3': None, 'city': 'Plano', 'zip_code': '75093', 'country': 'US', 'state': 'TX', 'display_address': ['1151 Preston Rd', 'Plano, TX 75093']}",+16823252124,(682) 325-2124,6782.310484264971
3,DOnJ87hZZ-R7WLZcuLxWEw,coffee-del-rey-plano,Coffee Del Rey,https://s3-media1.fl.yelpcdn.com/bphoto/_UyzNcGgOLxdoUkzD0_L0Q/o.jpg,False,https://www.yelp.com/biz/coffee-del-rey-plano?adjust_creative=aefy5ZBpOJ4G3GWKcNB2Sg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aefy5ZBpOJ4G3GWKcNB2Sg,29,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]",5.0,"{'latitude': 33.0278737, 'longitude': -96.7108171}",['delivery'],$$,"{'address1': '1915 N Central Expy', 'address2': 'Ste 340', 'address3': '', 'city': 'Plano', 'zip_code': '75075', 'country': 'US', 'state': 'TX', 'display_address': ['1915 N Central Expy', 'Ste 340', 'Plano, TX 75075']}",+14695345752,(469) 534-5752,5713.797137108802
4,Z5qmf3X95Ecn3EvEvDwQiA,the-book-shoppe-and-coffee-frisco,The Book Shoppe & Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/ZY2q0imNUSriv_iHLkiMyg/o.jpg,False,https://www.yelp.com/biz/the-book-shoppe-and-coffee-frisco?adjust_creative=aefy5ZBpOJ4G3GWKcNB2Sg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aefy5ZBpOJ4G3GWKcNB2Sg,25,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bookstores', 'title': 'Bookstores'}]",4.5,"{'latitude': 33.12276, 'longitude': -96.8153}",[],,"{'address1': '5330 Parkwood Blvd', 'address2': 'Ste 100', 'address3': '', 'city': 'Frisco', 'zip_code': '75034', 'country': 'US', 'state': 'TX', 'display_address': ['5330 Parkwood Blvd', 'Ste 100', 'Frisco, TX 75034']}",+14695358500,(469) 535-8500,8678.105498300018
5,fLCsWGiqen6vXLrVJeW5oA,the-pearl-cup-plano,The Pearl Cup,https://s3-media1.fl.yelpcdn.com/bphoto/66yD9aKmQjWTNZHj2FPMQw/o.jpg,False,https://www.yelp.com/biz/the-pearl-cup-plano?adjust_creative=aefy5ZBpOJ4G3GWKcNB2Sg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aefy5ZBpOJ4G3GWKcNB2Sg,58,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.0,"{'latitude': 33.089919, 'longitude': -96.821079}",['delivery'],$$,"{'address1': '5880 State Highway 121', 'address2': 'Ste 102A', 'address3': None, 'city': 'Plano', 'zip_code': '75024', 'country': 'US', 'state': 'TX', 'display_address': ['5880 State Highway 121', 'Ste 102A', 'Plano, TX 75024']}",,,6906.970122239721
6,hkoDM8L4srPcySOVQsF1tg,xo-coffee-plano,XO Coffee,https://s3-media4.fl.yelpcdn.com/bphoto/w9tc6OMCkoc8ymveR3zZpw/o.jpg,False,https://www.yelp.com/biz/xo-coffee-plano?adjust_creative=aefy5ZBpOJ4G3GWKcNB2Sg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aefy5ZBpOJ4G3GWKcNB2Sg,239,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.0,"{'latitude': 33.0198522, 'longitude': -96.6999842}",['pickup'],$$,"{'address1': '1023 E 15th St', 'address2': '', 'address3': None, 'city': 'Plano', 'zip_code': '75074', 'country': 'US', 'state': 'TX', 'display_address': ['1023 E 15th St', 'Plano, TX 75074']}",+19722124318,(972) 212-4318,7057.281656013302
7,4O_ggFp2LwxPUaNeEXad0g,friend-and-foe-board-game-cafe-plano,Friend & Foe Board Game Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/kmtoqUk53Vn4-gcGAGAcnw/o.jpg,False,https://www.yelp.com/biz/friend-and-foe-board-game-cafe-plano?adjust_creative=aefy5ZBpOJ4G3GWKcNB2Sg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aefy5ZBpOJ4G3GWKcNB2Sg,24,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",5.0,"{'latitude': 33.040043, 'longitude': -96.735275}",['delivery'],,"{'address1': '2929 Custer Rd', 'address2': 'Ste 312', 'address3': None, 'city': 'Plano', 'zip_code': '75075', 'country': 'US', 'state': 'TX', 'display_address': ['2929 Custer Rd', 'Ste 312', 'Plano, TX 75075']}",+14694430003,(469) 443-0003,3239.472452511195
8,gXJmPP-RdVDk2qPA1irH2g,summer-moon-coffee-frisco,Summer Moon Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/wydtDZSmjPT1l8W1ss4NnQ/o.jpg,False,https://www.yelp.com/biz/summer-moon-coffee-frisco?adjust_creative=aefy5ZBpOJ4G3GWKcNB2Sg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aefy5ZBpOJ4G3GWKcNB2Sg,449,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]",4.5,"{'latitude': 33.15032, 'longitude': -96.8248}",['delivery'],$,"{'address1': '6943 Main St', 'address2': None, 'address3': '', 'city': 'Frisco', 'zip_code': '75034', 'country': 'US', 'state': 'TX', 'display_address': ['6943 Main St', 'Frisco, TX 75034']}",+14692940117,(469) 294-0117,11602.287865440354
9,DapiIXwTo__1zBrTf_CF0Q,cafe-6-19-plano,Cafe 6:19,https://s3-media2.fl.yelpcdn.com/bphoto/mVhPmVtRypyWjXGmNjZDzw/o.jpg,False,https://www.yelp.com/biz/cafe-6-19-plano?adjust_creative=aefy5ZBpOJ4G3GWKcNB2Sg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aefy5ZBpOJ4G3GWKcNB2Sg,5,"[{'alias': 'cafes', 'title': 'Cafes'}]",4.5,"{'latitude': 33.0080507, 'longitude': -96.7326741}",[],$,"{'address1': '2001 W Plano Pkwy', 'address2': '', 'address3': 'The Hope Center', 'city': 'Plano', 'zip_code': '75075', 'country': 'US', 'state': 'TX', 'display_address': ['2001 W Plano Pkwy', 'The Hope Center', 'Plano, TX 75075']}",+19722129191,(972) 212-9191,6617.589452616218
10,HkhN3vgSi9TsiYns59j_6A,duino-coffee-mckinney,Duino Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/iLEbBASHs_YKh-YlWQzf5g/o.jpg,False,https://www.yelp.com/biz/duino-coffee-mckinney?adjust_creative=aefy5ZBpOJ4G3GWKcNB2Sg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aefy5ZBpOJ4G3GWKcNB2Sg,58,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 33.1523349, 'longitude': -96.7152505}","['pickup', 'delivery']",$,"{'address1': '7650 Stacy Rd', 'address2': 'Ste 200', 'address3': None, 'city': 'McKinney', 'zip_code': '75070', 'country': 'US', 'state': 'TX', 'display_address': ['7650 Stacy Rd', 'Ste 200', 'McKinney, TX 75070']}",+14694240050,(469) 424-0050,10320.124120310786
